Entrez,Gene Name,source
23411,SIRT1,Sparse whole-genome sequencing identifies two loci for major depressive disorder
64077,LHPP,
6532,SLC6A4,http://www.sciencedirect.com/science/article/pii/S0006322305010139
3356,5HTR2A,
7054,TH,
7166,TPH1,
1312,COMT,
6532,5-HTTLPR,
121278,TPH2,
3350,5-HT1A,
627,BDNF,
820,cAMP,
1385,CREB1,
