Entrez,gene name,source
84062,DTNBP1,http://www.sciencedirect.com/science/article/pii/S0168952505001885
3084,NRG1,
267012,DAOA,
5999,RGS4,
27185,DISC1,
1814,DRD3,
3356,5-HT2A,
27184,DISC2,ncbi
